cpg	gene	GSE40279	GSE87571	EPIC	GSE55763
cg10409981	na	0.7476387701340151	0.7171978362614436	0.623038550698353	0.7332246200770548
cg03349020	FBXL16	0.7483999564525258	0.6360713187358604	0.5370507124198975	0.559807514576341
cg05017628	na	0.7485508484860097	0.6888091292499033	0.6119217503951716	0.7325079770207306
cg00303541	GRM2	0.7511531461246054	0.7800954411198935	0.6345918628493158	0.761997250585913
cg04453050	GRM2	0.7511676303177328	0.7761467950536269	0.6920500891309952	0.7697285321828091
cg03950599	na	0.7522851519903739	0.6612858891100357	0.6105369232844291	0.7408879082528272
cg26345105	na	0.7524797501216896	0.7702430140451482	0.600462478867303	0.7474982538849182
cg06060874	PRDM16	0.7525872643041981	0.7403130228248203	0.6728457948398362	0.8058926579501272
cg11562153	GPX5	0.7537779953741484	0.7389148357078883	0.6293928180707317	0.7087957873947202
cg12899747	na	0.7541752921755089	0.7854441258583844	0.6681750537149742	0.798511046374754
cg14469684	na	0.7546075029268777	0.7686998003777956	0.6418392300799048	0.8107289668909908
cg21811204	SHROOM1	0.7558740731706716	0.7317345291988385	0.5824337103654783	0.7123770313015719
cg09262197	C1orf174	0.7559528639894594	0.7533385042167917	0.6975034387261727	0.8092422794839947
cg23115387	FOXE3	0.7572075501832394	0.7911193514115903	0.6654307651636878	0.833801425304119
cg14614094	EXOSC2	0.7590191255891142	0.7883748445809263	0.6415478607108256	0.803403468335018
cg08617160	MIER2	0.7591136103834	0.7218499571850832	0.6292750419600712	0.7504652909805892
cg04098052	na	0.7596987062122699	0.7587383191731095	0.6603477057265505	0.8002734627375868
cg05620980	na	0.760082467096578	0.7547013831020616	0.6515856545529292	0.7547033499740495
cg17430979	JAKMIP1	0.7601184776331099	0.7529927133154741	0.6501850236730461	0.8443027298148587
cg22637865	TTLL1	0.760520048783277	0.7681670308833928	0.670114460926777	0.8483513132882599
cg13544075	LCN6	0.7605518139511551	0.7867695089992639	0.6002732298227617	0.7664913107538258
cg07529654	TGIF1	0.760817908901707	0.7508161373562209	0.6660623978877032	0.7727620771837842
cg25432232	AURKC	0.7617991847226183	0.7739409248029896	0.682922145141995	0.8229570496125446
cg14480266	na	0.7618558197853966	0.7815204158946238	0.6902116235829745	0.8199153725437204
cg03578951	DMAP1	0.7620034497782857	0.7346172401462585	0.70141083188412	0.7541904142573975
cg01327602	SHISA7	0.764331097100094	0.7527489603127359	0.6560064972142139	0.7420469838118374
cg04503319	ANKRD11	0.7652438676303107	0.7911496663718687	0.6360378840475729	0.8414127354736372
cg00448560	ZNF423	0.7652472203844298	0.7754212049768542	0.6958920178123019	0.8234507906065817
cg14643892	C12orf56	0.7652539192485396	0.783364362896414	0.6574907816454763	0.8205136000589263
cg00327072	NEURL1B	0.7655421773818574	0.6917435011437311	0.6207446920748501	0.7863521169593077
cg04188920	PFKP	0.7662984885312522	0.784975549389645	0.6360120241462659	0.8419891542273783
cg05542681	FBXL16	0.7673940736352539	0.7066893643582649	0.6227620679105398	0.6083008776231121
cg25773262	BCAN	0.7682735587905668	0.7867756902934177	0.6204200994881989	0.7824360491731864
cg18675097	NKAPL	0.7716735096229631	0.7465028972764123	0.6254827056636617	0.7921243307747724
cg14898223	na	0.7717408544224589	0.7909117113555835	0.6961724026869556	0.876851213126974
cg13756273	TUBB1	0.771747729300997	0.7244874696692382	0.6726853146812656	0.826661053167905
cg22820188	LMNA	0.7728554297848578	0.772238614133084	0.6413301700668612	0.8108742181736115
cg21571060	na	0.7735156086719185	0.7733953579833981	0.6944512353528722	0.8664752769771465
cg19784428	NWD1	0.7738983834802421	0.7568445753301095	0.7069229651407205	0.8543863082265365
cg04731926	LSR	0.774414399270911	0.7783866931300467	0.6764006022341406	0.8243794607434458
cg26644674	PFKP	0.7748303778517646	0.7850595541699099	0.700978344323475	0.8414078134622525
cg25865120	DUT	0.7758562654650345	0.7862526159695773	0.6650746979841984	0.8550234353623276
cg26331343	na	0.7763644340609444	0.7821703588445617	0.6941584183859629	0.8072249024515981
cg04662594	EPB49	0.7769477780580714	0.7648134273591516	0.649522026095478	0.8127681853484148
cg20909645	na	0.7774999498651319	0.7383198054835378	0.6415678051201634	0.7353594099671515
cg16015113	KIAA0319L	0.7778996657494149	0.7862470977340117	0.6636531058718209	0.7194768351541045
cg12873476	na	0.777995515559398	0.7891238640191391	0.6032947812461527	0.7553196218313701
cg06762457	ZC3H12D	0.7786189883638166	0.7772405062856241	0.6623441250264871	0.7722828964293663
cg14573411	CRB2	0.7788079544734896	0.7883944687083065	0.6836695871736747	0.747432895210126
cg15704699	NLK	0.7807560108121978	0.7845711655376122	0.6940186248304149	0.8307079361486484
cg22121557	na	0.7811424833262848	0.7629616343512329	0.6670778438810615	0.8256637354969733
cg03534662	LIMD1	0.7816549041064147	0.7887695826894503	0.6879999401307207	0.7918362153103656
cg08352439	VOPP1	0.7818382646056723	0.7772815525196907	0.6740480028753227	0.7813267336777869
cg07920525	na	0.7822630122767052	0.779237763621816	0.6840871135371264	0.846457356406233
cg09214243	na	0.7825675408289249	0.7190030657485366	0.6278210316769922	0.7353658178146278
cg24167372	na	0.7833335658018766	0.683546523272364	0.6801042263088517	0.7499124918587438
cg23476877	na	0.783867165165326	0.7780533910965697	0.7080095448995828	0.8216513989813785
cg16323609	PRKAR2A	0.783993611584146	0.7906109303196334	0.6779066934458301	0.8050719315915904
cg12765064	na	0.7842384032826748	0.7449293577783682	0.6178706384218574	0.7709813188106428
cg15922174	CRB2	0.7848041697090223	0.7811116142973614	0.6615847438486827	0.7199949115716462
cg24518098	na	0.7849128358265083	0.7788819611018215	0.6605096569052994	0.8012110805909863
cg10917602	HSD3B7	0.7849978124955522	0.7476118207167857	0.6833515139628905	0.7513023258937149
cg06853416	na	0.7860413815785844	0.7584789138814922	0.6671035183961144	0.8507346930365954
cg19618897	na	0.7871106738416582	0.7674539577880624	0.6740102211394019	0.7657108404023858
cg15890469	PGF	0.788178858759525	0.7624849676300764	0.6824693793939834	0.7864562908845965
cg09728487	na	0.7881926320242191	0.7771095737994828	0.6678342545351166	0.8399390360316913
cg00073460	ZC3H12D	0.7897459305051908	0.7663782029529808	0.6734137990128342	0.7890563432596457
cg16888547	na	0.7902122935249662	0.719981961574281	0.6610800031143589	0.8413867802009657
cg24114014	na	0.7909287406952192	0.7665898999949211	0.6345830428372277	0.7944803284709544
cg14362178	na	0.7912957778257197	0.7683035314588256	0.691766970426732	0.7987788712780463
cg04058752	B3GNT6	0.7918937598042174	0.754952037474823	0.650628185878944	0.7974240263441966
cg24869272	TSPAN4	0.7919175830726687	0.7751338278512347	0.7106042768312352	0.8211972464693467
cg14030904	ZC3H12D	0.7919306984039134	0.7775237549715845	0.6734064543941065	0.7915994064611347
cg24350475	KIAA1462	0.7927903193339153	0.789334067810973	0.6976411303612581	0.7705313638295117
cg05107535	na	0.7952053718965877	0.7411624767469492	0.6986134871571018	0.7770265948347517
cg17720286	ADAMTSL5	0.7954189019210512	0.7749636943095775	0.7077689402347622	0.7909357730335357
cg12516875	na	0.7955466719809017	0.7826911026462202	0.6313319664639088	0.8543679495056632
cg18990365	PDE1A	0.7965272954097568	0.7665558977773537	0.710640986963798	0.860994400084735
cg22930275	TARSL2	0.7975785951456339	0.7790342844920083	0.6584836990402986	0.8543138588834375
cg00541638	USP7	0.7978515042194549	0.782347030891324	0.7068071506381883	0.8738369295582529
cg05531482	na	0.7990015612571412	0.771561407481744	0.6891953541375991	0.8055808877846312
cg12161971	USP35	0.8019037732486232	0.7817276555815912	0.6483007468424479	0.7895269973048262
cg06617961	MIR1826	0.8022267501457518	0.7789118492289622	0.6958316774802918	0.8303812914987861
cg20699586	na	0.8026649592717473	0.789341291427049	0.669644353791319	0.8661898395463923
cg11807280	na	0.8026992218948015	0.7873753980673619	0.678567177484852	0.7703006212087046
cg05308495	CACNG6	0.8027943912539293	0.7243655485146833	0.6610518862735761	0.7775162144792107
cg06699564	na	0.8033000729750717	0.7650802250927449	0.6692250419095543	0.8199321113846538
cg19433091	TMEM62	0.8056525358603048	0.7616410427722751	0.6884029142350169	0.7813559179064022
cg10665321	SLC25A42	0.8061865121590164	0.7896129054524069	0.6959173914453424	0.8425866157820049
cg22512670	RPS6KA1	0.806495118737063	0.7909612842312314	0.7012110607262216	0.8762250019560722
cg00982136	CLK1	0.8069825515747481	0.7665124194664772	0.6469971160920466	0.8399956263294841
cg11853788	TDRD5	0.8075136926587256	0.7308630053304879	0.666895436490161	0.7754893788050612
cg12069267	na	0.8086286898749866	0.7912350497648398	0.7070243415797559	0.8051524770544006
cg00891995	SPRR2C	0.8089903406733435	0.7704503126438125	0.7100147003562548	0.8725941926228723
cg10874644	na	0.8119324010420351	0.7679920655809204	0.6713270579878965	0.8524998794437246
cg02188818	TBC1D9	0.8129147138086772	0.7717736381231947	0.6724085993839386	0.7048158555487728
